oid,classALeRCE
ZTF17aadlmah,EB/EW
ZTF18aabkhfh,EB/EW
ZTF17aaaivem,RRL
ZTF18abgynih,EB/EW
ZTF17aadpefd,EB/EW
ZTF18aabmhmx,LPV
ZTF18aaaxgxo,EB/EW
ZTF18abtzgkp,RRL
ZTF18aciberz,CV/Nova
ZTF18aaaqzyj,RRL
ZTF18abadllt,LPV
ZTF19acraabx,QSO
ZTF18acpmscn,RSCVn
ZTF17aaboorq,RRL
ZTF18aallkko,EB/EW
ZTF17aabtgxq,RRL
ZTF18aaeztuz,QSO
ZTF18aaeeuii,QSO
ZTF17aaaaaty,LPV
ZTF17aacxuqd,RRL
ZTF18aabizax,EA
ZTF18acgttog,EB/EW
ZTF18abvetny,EB/EW
ZTF17aabicsv,EB/EW
ZTF17aaaadmn,EB/EW
ZTF18aaacbrd,EB/EW
ZTF18abomvvt,EB/EW
ZTF18aaddidp,QSO
ZTF18abortkd,EB/EW
ZTF19acnpwjw,QSO
ZTF18aaadyud,EB/EW
ZTF18aadyyzh,QSO
ZTF17aacfinb,EB/EW
ZTF18aabhbbm,EB/EW
ZTF18abvpkja,EB/EW
ZTF18abtsvps,EB/EW
ZTF17aaawjat,EB/EW
ZTF18accvigp,EB/EW
ZTF17aaaacfh,EB/EW
ZTF17aaaacfq,EB/EW
ZTF18aazvkvt,EA
ZTF18abxpfhw,EB/EW
ZTF17aadmkcp,EA
ZTF18aaawqbq,EB/EW
ZTF17aaaacth,EA
ZTF18acaupsx,EB/EW
ZTF18acfxiys,EA
ZTF17aadqzcl,RRL
ZTF18accuutx,AGN
ZTF17aaborfd,RRL
ZTF17aabuugu,EB/EW
ZTF18aazwdzw,LPV
ZTF18aaacmcm,RRL
ZTF17aaaadwn,LPV
ZTF18aaactle,RRL
ZTF18abcxiog,EB/EW
ZTF17aabirkd,EB/EW
ZTF18abnbyso,EA
ZTF18aawwfid,EB/EW
ZTF18aabjoym,EA
ZTF18acegzed,EB/EW
ZTF17aaaaezh,EA
ZTF18aaabplt,Blazar
ZTF17aacjxjd,EA
ZTF18acrxsce,EB/EW
ZTF18acexlke,QSO
ZTF18acbzqsp,RSCVn
ZTF17aabstqc,RRL
ZTF18abxihmj,RRL
ZTF18aaacbte,EB/EW
ZTF17aabuuky,EB/EW
ZTF17aaasobd,RRL
ZTF18aaaldtu,LPV
ZTF18achdqxh,EA
ZTF18abmegre,EB/EW
ZTF18aadxutb,EB/EW
ZTF18abjrdqt,EB/EW
ZTF17aaaagov,LPV
ZTF19abfiggy,Blazar
ZTF18abaqoqx,LPV
ZTF18aaacbxm,EA
ZTF18abikqds,LPV
ZTF17aaaagqi,LPV
ZTF18abzrwom,RRL
ZTF17aaawjig,EB/EW
ZTF18abnynci,LPV
ZTF17aadciaq,RRL
ZTF18aabhptw,EB/EW
ZTF18abasehb,LPV
ZTF18acmyxhi,RRL
ZTF18abwpede,RRL
ZTF18abchgtu,RSCVn
ZTF17aacubsu,EB/EW
ZTF17aaaajfe,LPV
ZTF18aaelnzw,EB/EW
ZTF17aaaoruj,RRL
ZTF17aaaajia,LPV
ZTF17aacewdw,YSO
ZTF17aaantoa,EB/EW
ZTF18aaehuml,QSO
ZTF18abadjyg,EA
ZTF18aaacfiw,RRL
ZTF18abccngy,EB/EW
ZTF18abccnpt,EB/EW
ZTF18aaapnvs,EB/EW
ZTF18acctuuu,EA
ZTF17aabpnti,LPV
ZTF18acvrhio,EB/EW
ZTF18abbcjso,EB/EW
ZTF18abtpezy,EB/EW
ZTF17aacchns,EA
ZTF18abbgdvg,LPV
ZTF17aaaajki,LPV
ZTF18abuplpr,EB/EW
ZTF18aaelhjx,QSO
ZTF17aabvfkq,YSO
ZTF18aabsnvg,RRL
ZTF17aaawmiq,RRL
ZTF18acmyjol,EB/EW
ZTF18aabwdly,EA
ZTF18aawvyln,EB/EW
ZTF18acurpms,EB/EW
ZTF18abdjxxm,RRL
ZTF17aaaajtk,EB/EW
ZTF18aabklcm,EB/EW
ZTF18abllyfo,LPV
ZTF18acgboal,EB/EW
ZTF18abjgfkc,EB/EW
ZTF19aaycmak,QSO
ZTF18accgktp,EB/EW
ZTF17aacwoez,EB/EW
ZTF18aadpnrn,QSO
ZTF18abdeyvp,EB/EW
ZTF18aaauztb,EB/EW
ZTF18abdetue,LPV
ZTF18aabiqqa,EB/EW
ZTF17aaaamxs,EB/EW
ZTF18abtpdxl,RRL
ZTF17aaajfrh,RRL
ZTF17aaaanxs,EA
ZTF18aadjpxe,QSO
ZTF17aaaaoll,EB/EW
ZTF18aabcovd,EB/EW
ZTF18aaaxjph,EB/EW
ZTF17aabyyzi,EB/EW
ZTF17aacxcmw,LPV
ZTF18acurptw,EB/EW
ZTF17aaboowt,DSCT
ZTF18abajxbe,RRL
ZTF17aacmkfa,EB/EW
ZTF18acuqsth,EB/EW
ZTF18acbzlbb,Ceph
ZTF18aaaxklz,EB/EW
ZTF18abblzfw,YSO
ZTF17aaapjip,EB/EW
ZTF18aaabpgf,EB/EW
ZTF18aaacrhi,RRL
ZTF17aaaaqvn,RRL
ZTF18abnyhjv,EB/EW
ZTF18acqyphd,EB/EW
ZTF18aaadvky,EB/EW
ZTF18abqabdu,RRL
ZTF18acrxsfr,EB/EW
ZTF17aaagupa,EB/EW
ZTF19aamheek,QSO
ZTF18abwwfzk,DSCT
ZTF18acsosgm,EB/EW
ZTF18accgkfg,RRL
ZTF18acebhwm,EB/EW
ZTF18aaanhxs,RRL
ZTF17aaaaxxj,EB/EW
ZTF17aaaaxzy,EB/EW
ZTF19aagmvdj,RRL
ZTF18aaaextq,RRL
ZTF17aaaazob,CV/Nova
ZTF18acqowhx,EB/EW
ZTF17aadjmll,EA
ZTF18aaayizb,EB/EW
ZTF17aaabavb,CV/Nova
ZTF18abkhxbf,EB/EW
ZTF18aafbpvc,QSO
ZTF18abvexml,EB/EW
ZTF18abcoxqq,EB/EW
ZTF17aaaolsu,EB/EW
ZTF18aaxvbxk,LPV
ZTF18aaaqzxx,RRL
ZTF18abukmmw,QSO
ZTF18aajeozl,AGN
ZTF17aaajcwl,EA
ZTF18aaaazzu,EA
ZTF18abtjaeg,EA
